,1,,reward2,count2,reward3,count3,reward4,count4,
id,reward1,count1,reward2,count2,reward3,count3,reward4,count4,
1,2,2000,,,,,,,0
2,2,2000,,,,,,,0
3,2,2000,,,,,,,0
4,2,2000,,,,,,,0
5,2,2000,,,,,,,0
6,6,1,4,2,5,2,11,1,0
7,2,2000,,,,,,,0
8,2,2000,,,,,,,0
9,2,2000,,,,,,,0
10,2,2000,,,,,,,0
11,2,2000,,,,,,,0
12,2,2000,,,,,,,0
13,2,2000,,,,,,,0
14,6,1,4,2,9,1,11,1,0
15,2,2000,,,,,,,0
16,2,2000,,,,,,,0
17,2,2000,,,,,,,0
18,2,2000,,,,,,,0
19,2,2000,,,,,,,0
20,2,2000,,,,,,,0
21,2,2000,,,,,,,0
22,2,2000,,,,,,,0
23,2,2000,,,,,,,0
24,2,2000,,,,,,,0
25,2,2000,,,,,,,0
26,2,2000,,,,,,,0
27,6,2,8,2,9,2,10,1,0
28,2,2000,,,,,,,0
29,2,2000,,,,,,,0
30,2,2000,,,,,,,0
31,2,3000,,,,,,,0
32,2,3000,,,,,,,0
33,2,3000,,,,,,,0
34,2,3000,,,,,,,0
35,2,2000,,,,,,,0
36,2,3000,,,,,,,0
37,6,1,4,2,5,2,11,1,0
38,2,3000,,,,,,,0
39,2,2000,,,,,,,0
40,2,3000,,,,,,,0
41,2,3000,,,,,,,0
42,2,3000,,,,,,,0
43,2,3000,,,,,,,0
44,2,3000,,,,,,,0
45,6,1,4,2,9,1,11,1,0
46,2,3000,,,,,,,0
47,2,2000,,,,,,,0
48,2,3000,,,,,,,0
49,2,3000,,,,,,,0
50,2,3000,,,,,,,0
51,2,3000,,,,,,,0
52,2,3000,,,,,,,0
53,2,3000,,,,,,,0
54,2,3000,,,,,,,0
55,2,3000,,,,,,,0
56,2,3000,,,,,,,0
57,2,3000,,,,,,,0
58,6,2,8,2,9,2,10,1,0
59,2,3000,,,,,,,0
60,2,3000,,,,,,,0
61,2,3000,,,,,,,0
62,2,3000,,,,,,,0
63,2,3500,,,,,,,0
64,2,3500,,,,,,,0
65,2,3500,,,,,,,0
66,2,3500,,,,,,,0
67,2,3500,,,,,,,0
68,6,1,4,2,5,2,11,1,0
69,2,3500,,,,,,,0
70,2,3500,,,,,,,0
71,2,3500,,,,,,,0
72,2,3500,,,,,,,0
73,2,3500,,,,,,,0
74,2,3500,,,,,,,0
75,2,3500,,,,,,,0
76,6,1,4,2,9,1,11,1,0
77,2,3500,,,,,,,0
78,2,3500,,,,,,,0
79,2,3500,,,,,,,0
80,2,3500,,,,,,,0
81,2,3500,,,,,,,0
82,2,3500,,,,,,,0
83,2,3500,,,,,,,0
84,2,3500,,,,,,,0
85,2,3500,,,,,,,0
86,2,3000,,,,,,,0
87,2,3500,,,,,,,0
88,2,3500,,,,,,,0
89,6,2,8,2,9,2,10,1,0
90,2,3500,,,,,,,0
91,2,3500,,,,,,,0
92,2,3500,,,,,,,0
93,2,3500,,,,,,,0
